Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY
0.6225490196078431,0.06862745098039191,0,1,0.5319148936170213,0.7987355110642782,0.6000000000000001,0.7987603305785123,0.4879032258064516,0.4811320754716981,0.4879206212251942,0.6654275092936802,0.41346153846153844,0.665289256198347,0.47857142857142854,0.2222222222222222,0.47883597883597895,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5196078431372549,0.06862745098039191,0,1,0.5531914893617021,0.435194942044257,0.7238095238095239,0.4351239669421486,0.4809384164222873,0.5188679245283019,0.4810181190681623,0.7014869888475836,0.5288461538461539,0.7016528925619834,0.7428571428571428,0.2222222222222222,0.7433862433862436,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6666666666666666,0.06862745098039191,0,0,0.0,0.72251492799438,0.6380952380952383,0.7225206611570247,0.20857771260997068,0.5849056603773585,0.20836928386540124,0.3602230483271375,0.5384615384615384,0.3603305785123967,0.6357142857142857,0.4444444444444445,0.634920634920635,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3627450980392157,0.06862745098039191,1,0,0.0,0.45310853530031603,0.6285714285714288,0.453099173553719,0.3079178885630498,0.6981132075471698,0.3080241587575496,0.4505576208178439,0.701923076923077,0.4504132231404958,0.48571428571428565,0.2222222222222222,0.48677248677248686,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5735294117647058,1.0,1,0,0.0,0.6522655426765016,0.4857142857142858,0.6522727272727271,0.5729472140762463,0.5,0.5729076790336498,0.5137546468401487,0.673076923076923,0.5140495867768594,0.21428571428571427,0.5555555555555556,0.21428571428571427,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7156862745098039,0.06862745098039191,1,0,0.0,0.41903758342114505,0.30476190476190484,0.4190082644628099,0.1422287390029325,0.4339622641509433,0.14193270060396893,0.5431226765799256,0.46153846153846156,0.5429752066115702,0.27142857142857146,0.5555555555555556,0.27248677248677255,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6862745098039216,0.06862745098039191,1,1,0.7872340425531915,0.7759044608359678,0.3523809523809524,0.7758264462809916,0.5780791788856304,0.5943396226415093,0.5780845556514237,0.9691449814126394,0.47115384615384615,0.9694214876033056,0.5642857142857143,0.4444444444444445,0.5634920634920636,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.35784313725490197,0.06862745098039191,0,0,0.0,0.5268703898840884,0.7619047619047621,0.5268595041322314,0.36326979472140764,0.9433962264150942,0.3632441760138051,0.4843866171003718,0.4423076923076923,0.48429752066115705,0.41428571428571426,0.4444444444444445,0.41534391534391546,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.8186274509803921,0.0,0,0,0.0,0.3199859501229364,0.46666666666666673,0.32004132231404947,0.14882697947214077,0.21698113207547165,0.14883520276100085,0.2802973977695167,0.7692307692307693,0.2801652892561983,0.5642857142857143,0.1111111111111111,0.5634920634920636,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4607843137254902,1.0,0,0,0.0,0.4176325957147874,0.3904761904761906,0.4175619834710743,0.6719208211143695,0.2547169811320754,0.6721311475409837,0.4706319702602231,0.6442307692307693,0.47024793388429753,0.6428571428571429,0.4444444444444445,0.6428571428571429,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
